zip,totkbtu,avgktbu,totcust,gascust,eleccust,gaskbtu,eleckbtu
93612,853834401.5,2348.266515,363602,175029,188573,438894800,414939601.5
93614,161909052.5,2605.510895,62141,,62141,,161909052.5
93615,36408329.45,2063.847257,17641,,17641,,36408329.45
93616,20387177.68,2479.890242,8221,0,8221,0,20387177.68
93618,238574822.8,2274.155421,104907,,104907,,238574822.8
93619,791084029.8,2861.674028,276441,113282,163159,353540000,437544029.8
93620,170351655.8,2546.590962,66894,27767,39127,77882300,92469355.82
93621,7132182.076,2142.439795,3329,,3329,,7132182.076
93622,139971501.1,2382.696418,58745,26748,31997,75230200,64741301.08
93623,2737495.368,1051.265502,2604,,2604,,2737495.368
93624,7016122.896,2650.594218,2647,,2647,,7016122.896
93625,144307200.2,2697.028375,53506,22614,30892,70753000,73554200.24
93626,26388077.04,2711.196654,9733,,9733,,26388077.04
93627,0,0,0,0,0,0,0
93628,2053314.304,620.8993964,3307,,3307,,2053314.304
93630,314024732.8,2448.268671,128264,55591,72673,146826200,167198532.8
93631,182315177.1,2511.470487,72593,,72593,,182315177.1
93633,1406736.892,510.9832517,2753,,2753,,1406736.892
93635,821766618.5,2619.193169,313748,147779,165969,436850000,384916618.5
93636,152768874.4,3140.9366,48638,0,48638,0,152768874.4
93637,736602696.6,2589.058567,284506,131994,152512,374978700,361623996.6
93638,631867677.9,2354.210254,268399,105023,163376,265391500,366476177.9
93640,162358572.3,2441.849485,66490,31674,34816,95901100,66457472.25
93641,5949531.696,1506.210556,3950,,3950,,5949531.696
93643,44633511.61,2099.807659,21256,,21256,,44633511.61
93644,121224364.5,2303.769756,52620,,52620,,121224364.5
93645,6015072.804,2549.840103,2359,,2359,,6015072.804
93646,63556456.78,2016.768953,31514,,31514,,63556456.78
93647,76218426.32,2154.462682,35377,,35377,,76218426.32
93648,99406538.68,2119.135745,46909,,46909,,99406538.68
93650,77555386.68,2776.081422,27937,13809,14128,39709800,37845586.68
93651,22372552.24,2847.829969,7856,,7856,,22372552.24
93652,4306882.3,2572.80902,1674,,1674,,4306882.3
