zip,totkbtu,avgktbu,gascust,eleccust,gaskbtu,eleckbtu,totcust
93721,82162290.74,48991.17957,18162,20125,38643500,43518790.74,1963
93722,1731074133,61310.41894,332118,338815,932530400,798543732.8,6697
93723,196702404.1,60003.78386,30722,39338,95313200,101389204.1,8616
93725,394379832.6,54574.11369,66709,86718,186396200,207983632.6,20009
93726,919568440.6,57924.65886,180358,190503,511244400,408324040.6,10145
93727,1496455789,60422.57845,281693,297198,803833700,692622089.3,15505
93728,364590663.7,62119.6644,67392,70430,203868100,160722563.7,3038
93730,337776044,75771.3487,52832,53494,194733700,143042344,662
93737,75415998.64,48823.47775,9668,18536,24148300,51267698.64,8868
93741,0,0,,0,,0,0
93901,538464128,49981.97323,117155,129278,388074100,150390028,12123
93905,658429160.7,47224.33031,156606,167311,479288000,179141160.7,10705
93906,893978728.1,49546.66465,202310,216518,624504400,269474328.1,14208
93907,355393744.9,46707.02391,64843,91308,208619700,146774044.9,26465
93908,323266136.4,62686.94671,39530,61882,197467300,125798836.4,22352
93920,7189919.94,24167.79812,0,3570,0,7189919.94,3570
93921,126558011.2,61615.39009,21552,24648,93667000,32891011.25,3096
93923,538504933.6,77798.95744,70196,83061,385186700,153318233.6,12865
93924,165595091.9,60983.30835,18817,32585,96003800,69591291.89,13768
93925,17844530.16,42293.96838,3118,5063,9764300,8080230.16,1945
93926,118470506.6,50305.9476,26139,28260,82231600,36238906.59,2121
93927,222937884.9,48192.36595,50268,55512,153873300,69064584.86,5244
93930,209947619.8,49411.06608,45005,50988,141139300,68808319.78,5983
93932,8546787.04,29037.78156,,3532,,8546787.04,3532
93933,425843912.7,49246.64103,100538,103766,297265900,128578012.7,3228
93940,740275452.5,51118.11158,146975,173780,535091400,205184052.5,26805
93943,0,0,0,0,0,0,0
93950,423886887.1,53673.55328,88802,94770,320061300,103825587.1,5968
93953,321546702.9,109255.0453,34831,35317,239780600,81766102.89,486
93954,2892028.26,24474.14606,,1418,,2892028.26,1418
93955,521224445.1,53927.20841,111793,115984,382961600,138262845.1,4191
93960,238001280.1,49605.13003,52950,57575,160381600,77619680.12,4625
93962,17774843.56,61046.97274,3494,3486,12985600,4789243.564,8
94002,667587091.5,58257.06191,122056,137512,476363800,191223291.5,15456
94005,102141210.7,51019.58577,22200,24024,71394000,30747210.7,1824
94010,1474412363,80244.13173,187061,220489,1053002600,421409763.4,33428
94014,711528322.8,48699.79281,151846,175326,482435100,229093222.8,23480
94015,1022391014,51240.60663,198445,239433,709034500,313356513.9,40988
94018,115020345.6,56968.96763,21183,24228,75439600,39580745.64,3045
94019,317957490.9,61668.46973,52039,61871,215139000,102818490.9,9832
94020,18468200.64,25677.02557,0,8631,0,18468200.64,8631
94021,0,0,,0,,0,0
94022,783768998.4,98170.5337,86021,95805,529002400,254766598.4,9784
94024,783522732.2,92628.66643,98270,101505,542583100,240939632.2,3235
94025,1179487250,70462.37138,188450,200871,833814200,345673050.1,12421
94027,560986454.1,213953.6438,30715,31464,376384500,184601954.1,749
94028,307899417.4,123143.3479,29096,30004,219729400,88170017.45,908
94030,514909207,56827.49615,93830,108731,363107000,151802207,14901
94037,67487341.26,58833.86089,10101,13765,40522800,26964541.26,3664
94038,60083470.7,54044.0483,7773,13341,36593700,23489770.7,5568
94040,730828885.6,49481.46621,128001,177237,483190600,247638285.6,49236
94041,313343382.1,45974.55079,68076,81787,215442600,97900782.14,13711
94043,565677322.3,43609.24506,109047,155658,370766000,194911322.3,46611
94044,831540589.1,54575.56454,163395,182838,593082600,238457989.1,19443
94060,14428515.47,24688.74742,,7013,,14428515.47,7013
94061,799603125.7,54966.24491,159246,174566,556024100,243579025.7,15320
94062,949841463.3,89114.47304,111654,127904,631978100,317863363.3,16250
94063,437272010.4,42962.46909,88943,122136,279265600,158006410.4,33193
94065,269853466.2,48680.72151,54735,66520,173358800,96494666.23,11785
94066,834486341.7,52566.34471,147932,190499,566495500,267990841.7,42567
94070,826091375.9,63455.18884,144632,156222,576726400,249364975.9,11590
94074,0,0,,0,,0,0
94080,1120576374,49918.94752,226569,269375,779636000,340940374.1,42806
94085,371031944.2,39626.75849,72565,112358,235762300,135269644.2,39793
94086,878083070.3,42814.34991,158655,246109,569610500,308472570.3,87454
94087,1219194951,54984.53259,222487,266081,842012900,377182051.2,43594
94089,308796451.4,57144.84411,43733,64845,162661300,146135151.4,21112
94102,462332729.5,35132.33379,70211,157917,312211400,150121329.5,87706
94103,432607709.1,30333.6012,75995,171140,270351100,162256609.1,95145
94104,3055811.084,11412.92655,0,3213,0,3055811.084,3213
94105,139305042,18387.07039,2505,90915,35680200,103624842,88410
94107,452524315.9,29621.2814,72118,183324,260949800,191574515.9,111206
94108,261978313.8,44237.52573,45870,71065,197488600,64489713.85,25195
94109,1416123141,47004.85632,255488,361526,1090697400,325425740.5,106038
94110,1143305584,40730.03231,289403,336844,827145600,316159983.7,47441
94111,18021580.08,17090.16603,0,12654,0,18021580.08,12654
94112,1172127290,57002.45784,240068,246753,832849000,339278289.9,6685
94114,825210045.6,45162.34031,187919,219265,604708000,220502045.6,31346
94115,897649406.6,51052.84478,139843,210993,654472700,243176706.6,71150
94116,803931596,54371.44103,168513,177431,582930600,221000996,8918
94117,906035690.4,44986.87638,206200,241680,679556800,226478890.4,35480
94118,948318112.6,50348.71848,192322,226020,709004800,239313312.6,33698
94121,889729298.7,47186.09966,193521,226269,658930400,230798898.7,32748
94122,1073753361,47808.07202,242515,269516,790317300,283436061.5,27001
94123,786791290.9,51478.38137,154817,183407,609080700,177710590.9,28590
94124,532860855.9,52945.90813,103785,120771,371313100,161547755.9,16986
94127,528471034.1,71063.68751,87251,89239,397792700,130678334.1,1988
94129,73152000,103798.5101,8457,0,73152000,0,8457
94130,0,0,,0,,0,0
94131,658204906.1,50284.63392,131935,157075,474970700,183234206.1,25140
94132,548784918.4,58876.71117,78009,111851,415414100,133370818.4,33842
94133,478813245.4,36976.85114,99655,155388,343258300,135554945.4,55733
94134,569628474.1,54695.27257,114366,124975,394647200,174981274.1,10609
94158,54752978.16,12121.08877,0,54206,0,54752978.16,54206
94301,0,0,,0,,0,0
94303,409802598.8,54702.95099,74357,89897,278773900,131028698.8,15540
94305,139523224,140908.8275,11109,11882,115412500,24110723.99,773
94306,0,0,0,,0,,0
94401,595154600.8,46761.00602,113870,152731,393300500,201854100.8,38861
94402,707705042,68410.8983,111796,124139,508080400,199624642,12343
94403,923895513.4,52564.74692,170895,210916,636580100,287315413.4,40021
94404,730963299.8,46765.18984,125615,187566,478674100,252289199.8,61951
94501,885539600,41988.43532,253081,,885539600,,253081
94502,209010100,38289.58842,65504,,209010100,,65504
94503,379429232.8,64842.14804,69361,70219,243666500,135762732.8,858
94505,415269947.6,73036.96919,67828,68229,242017800,173252147.6,401
94506,873252631.2,96911.4175,105766,108130,571885800,301366831.2,2364
94507,741234452.1,126992.5677,69235,70042,497381900,243852552.1,807
94508,78379848.31,78022.24635,9758,12055,50828600,27551248.31,2297
94509,1446192046,59789.44368,270041,290257,815636400,630555646.1,20216
94510,646389419.2,54678.36621,132945,141860,418153400,228236019.2,8915
94511,33904927.99,30146.64611,,13496,,33904927.99,13496
94512,0,0,0,0,0,0,0
94513,1434844510,65351.65094,251795,263469,823466300,611378210,11674
94514,57398972.37,55826.52524,8696,12338,25225300,32173672.37,3642
94515,171900115.4,60294.67396,21265,34212,85209200,86690915.45,12947
94517,352513491.4,73621.80893,52407,57458,215099900,137413591.4,5051
94518,641404937.2,60497.53389,120105,127226,403658200,237746737.2,7121
94519,433340429.2,59085.16249,85604,88010,276222200,157118229.2,2406
94520,649275674.9,46737.65978,138797,166703,400704900,248570774.9,27906
94521,1014638359,59161.14919,197409,205805,635357300,379281059,8396
94523,849400966.2,55720.04217,152172,182929,534743600,314657366.2,30757
94525,94627110.76,54365.17112,19789,20887,65661800,28965310.76,1098
94526,1114790895,84725.57658,153712,157892,739738300,375052594.7,4180
94528,66128794.26,161388.1495,4801,4917,43611000,22517794.26,116
94530,573939660.7,50640.24535,125814,136004,420185800,153753860.7,10190
94531,1000889904,71733.81061,165594,167434,530683900,470206003.8,1840
94533,1567876683,61231.23051,297384,307270,981023100,586853583.2,9886
94534,937711604.9,66521.66792,163008,169156,575781900,361929704.9,6148
94535,0,0,0,0,0,0,0
94536,1349749177,52142.38847,274412,310630,903095500,446653677.5,36218
94538,1039366281,44910.12633,200136,277719,645427700,393938581.1,77583
94539,1067326906,60503.48803,201488,211689,708732800,358594106.5,10201
94541,1162362708,50140.20242,247701,278187,769969800,392392907.6,30486
94542,328569977.6,62204.6183,52714,63385,215212600,113357377.6,10671
94544,1233359936,51852.89242,253945,285429,820784400,412575535.9,31484
94545,541614500.2,55667.72591,114697,116753,356353300,185261200.2,2056
94546,991048377.7,55704.25786,199094,213495,667325000,323723377.7,14401
94547,528247024.9,56703.20147,105398,111792,341963900,186283124.9,6394
94548,10959637.43,39458.64062,0,3333,0,10959637.43,3333
94549,1019146564,89644.5576,127457,136425,700923600,318222964.2,8968
94550,1243784068,65269.37394,216354,228674,785952600,457831467.9,12320
94551,827472341.5,56047.25567,162941,177166,493964600,333507741.5,14225
94552,329687549.7,61483.06208,59833,64347,212024600,117662949.7,4514
94553,1148622999,57090.7464,227460,241431,718673000,429949999.4,13971
94555,644122409.5,52186.29637,147155,148113,432691200,211431209.5,958
94556,516987744,80839.33294,71269,76743,366941400,150046344,5474
94558,1643689493,62964.94875,263485,313258,1023496200,620193292.9,49773
94559,613092415.3,54074.91867,126882,136054,402528700,210563715.3,9172
94560,777456266.5,51668.52306,168088,180564,505084700,272371566.5,12476
94561,865332954.5,61766.11341,151890,168118,480871200,384461754.5,16228
94562,8743031.632,64405.38955,,1629,,8743031.632,1629
94563,744590864,102150.3415,85299,87470,528525500,216065364,2171
94564,422585532.7,56738.12201,83404,89376,286576300,136009232.7,5972
94565,1782901694,58201.67771,351287,367598,1048140200,734761493.7,16311
94566,1154486300,69940.60785,180654,198080,738524600,415961700.2,17426
94567,9427547.072,29270.52131,,3865,,9427547.072,3865
94568,1232822223,54258.35734,246464,272656,786612000,446210223.2,26192
94569,0,0,0,0,0,0,0
94571,258146950.7,51088.70139,58235,60635,171265400,86881550.71,2400
94572,186458012.3,59251.01682,37763,36000,121459600,64998412.34,1763
94573,11188889.71,60617.00973,,2215,,11188889.71,2215
94574,290285976,72495.97736,38236,48050,168156500,122129476,9814
94576,16261963.72,74086.39508,2129,2634,10458800,5803163.72,505
94577,930410559.2,52337.6384,186493,213325,611237800,319172759.2,26832
94578,706352156.4,45766.47558,138028,185206,447963000,258389156.4,47178
94579,429657730.4,61958.69452,78945,83215,258298400,171359330.4,4270
94580,541122575.6,54999.11835,108244,118065,349346100,191776475.6,9821
94582,935540571.1,61389.86205,178022,182872,608510300,327030271.1,4850
94583,972996470,64171.94825,168833,181948,633000500,339995970,13115
94585,622467256.8,59402.34347,116082,125746,375321200,247146056.8,9664
94586,26737485.86,66483.59518,3321,4826,14394900,12342585.86,1505
94587,1197986221,53977.93194,237024,266328,788845000,409141221.4,29304
94588,771628114.2,60893.57146,129561,152061,487651800,283976314.2,22500
94589,594234153.2,59167.02488,113203,120520,391460300,202773853.2,7317
94590,785257650.9,50919.94256,170233,185057,527661300,257596350.9,14824
94591,1205054451,57758.28656,235629,250365,761486300,443568151.3,14736
94595,517236085.1,48247.38446,89785,128646,299783900,217452185.1,38861
94596,589582289.1,57390.0459,83537,123279,380918000,208664289.1,39742
94597,553663334,47802.40027,107157,138988,342444600,211218734,31831
94598,828602606,73531.01329,123271,135225,545014400,283588206,11954
94599,68448789.37,60205.63457,12258,13643,37381400,31067389.37,1385
94601,760984690.6,47641.19328,172158,191679,512057000,248927690.6,19521
94602,644941661,50740.19152,142506,152528,463904800,181036861,10022
94603,538744518,52100.85196,121331,124085,379373700,159370818,2754
94605,966309573.9,56357.17841,195231,205754,679548300,286761273.9,10523
94606,667566308.1,41775.11315,153326,191760,444774500,222791808.1,38434
94607,417721660.7,38023.08945,76325,131832,267001300,150720360.7,55507
94608,525660440.1,34662.35826,114833,181982,338350600,187309840.1,67149
94609,422066507.6,42135.37176,109443,120203,313577300,108489207.6,10760
94610,689327476.5,42425.80917,132281,194974,486574300,202753176.5,62693
94611,1113331743,62051.99611,179465,215303,805201400,308130343.3,35838
94612,217912563.4,30857.78906,32035,84742,133399200,84513363.4,52707
94613,0,0,0,0,0,0,0
94618,446582905.1,56570.65651,90675,94731,327559400,119023505.1,4056
94619,558845031.3,55673.87033,115602,120454,394599100,164245931.3,4852
94621,479524224,48746.58552,103625,118045,333594400,145929824,14420
94702,346450660.2,44457.1237,86643,93515,261471900,84978760.2,6872
94703,391495421,42327.26123,103187,110991,295677600,95817820.96,7804
94704,288078054.2,32974.39501,66611,104837,201868200,86209854.16,38226
94705,368535951.5,59983.06503,66839,73728,284373700,84162251.54,6889
94706,330656724.5,43780.12947,77612,90632,243705900,86950824.55,13020
94707,363487869,67050.78057,64217,65053,278186900,85300969.01,836
94708,364785208.2,72889.01189,59027,60056,280960400,83824808.15,1029
94709,224425684.5,41413.95706,52555,65029,170952800,53472884.47,12474
94710,133485662.8,38923.72253,34238,41153,95638800,37846862.77,6915
94720,0,0,0,0,0,0,0
94801,493173264.8,47696.05797,114244,124079,351865800,141307464.8,9835
94803,598786052.5,59828.74796,116752,120100,410078200,188707852.5,3348
94804,779691093.5,50477.96714,176177,185354,557341600,222349493.5,9177
94805,292880157.9,53857.23976,63941,65257,212680900,80199257.9,1316
94806,1062271711,49825.90615,238868,255836,724463300,337808410.6,16968
94901,972079188.9,60633.99711,159611,192383,674925700,297153488.9,32772
94903,801712820.8,64577.44383,129228,148977,560536000,241176820.8,19749
94904,308631527.6,80077.36933,41409,46250,213976100,94655427.63,4841
94920,501898117.8,84614.52695,63895,71179,359530200,142367917.8,7284
94922,6583269.752,35957.77743,,2197,,6583269.752,2197
94923,27691423.5,19534.24737,,17011,,27691423.5,17011
94924,6315461.872,19269.14377,,3933,,6315461.872,3933
94925,265498057.2,65714.62988,47218,48482,191686500,73811557.16,1264
94928,918818311.3,56810.98797,166514,194079,601147900,317670411.3,27565
94929,7728381.308,19074.57336,,4862,,7728381.308,4862
94930,24420859.14,67632.19703,4333,3044,19380100,5040759.144,1289
94931,212128940.1,56399.77137,40110,45134,133284700,78844240.1,5024
94933,6555236.76,23779.57712,,3308,,6555236.76,3308
94937,6297320.268,17359.9456,,4353,,6297320.268,4353
94938,0,0,,0,,0,0
94939,292097024.9,60668.17189,48188,57776,201484500,90612524.94,9588
94940,0,0,,0,,0,0
94941,927582740,70853.8166,141401,157098,673892300,253690440,15697
94945,478632292.2,65939.42306,81300,87104,322377200,156255092.2,5804
94946,5573433.76,29804.45861,,2244,,5573433.76,2244
94947,647551204.5,65358.59817,108637,118892,439957700,207593504.5,10255
94949,449524860.8,64617.07849,74760,83481,298063400,151461460.8,8721
94951,112891952.3,68627.32661,15499,19740,68428000,44463952.27,4241
94952,815545502.4,60297.99836,140128,162303,545498900,270046602.4,22175
94954,862099817.7,59808.51127,162558,172972,573863700,288236117.7,10414
94956,1519233.944,18640.90729,,978,,1519233.944,978
94957,119474731,143556.3004,9833,9987,83857600,35617131.01,154
94960,453959029.7,74155.10756,69659,73461,327558900,126400129.7,3802
94963,1612340.6,26323.92816,,735,,1612340.6,735
94964,0,0,0,0,0,0,0
94965,307495991.9,50511.30569,51999,73052,207211300,100284691.9,21053
94970,13614067.66,20782.19208,,7861,,13614067.66,7861
94971,4789342.512,20606.70855,,2789,,4789342.512,2789
94972,0,0,,0,,0,0
94973,10056194.42,27677.59933,,4360,,10056194.42,4360
95002,30395244.92,66851.7117,5345,5456,18381900,12013344.92,111
95003,611122049.7,54705.30232,113546,134054,405445400,205676649.7,20508
95004,50022072.21,38937.78325,5696,15416,21557800,28464272.21,9720
95005,149323616.8,64151.63258,19752,27932,91366600,57957016.76,8180
95006,134169987.3,36063.16157,7928,44645,34878300,99291687.35,36717
95007,22748670.84,73640.1538,2940,3707,15277800,7470870.844,767
95008,1009436721,49442.80763,191962,244995,637198600,372238121.2,53033
95010,227139278.2,45828.85815,49329,59475,162993900,64145378.22,10146
95012,141072279.1,52105.86197,25838,32489,93700600,47371679.14,6651
95013,0,0,0,0,0,0,0
95014,1292816180,57118.95642,222508,271605,864527200,428288979.8,49097
95017,3086505.436,20261.52365,0,1828,0,3086505.436,1828
95018,141667765.9,50615.21394,16317,33587,70954100,70713665.88,17270
95019,73892782.55,44415.61764,14427,19964,51099500,22793282.55,5537
95020,1169953316,60563.12058,199965,231815,714029600,455923716.4,31850
95023,925294025,55799.70903,175950,198989,578052400,347241625,23039
95030,542090292.6,97803.15599,60296,66512,355415900,186674392.6,6216
95032,773597649.7,69858.68831,118214,132885,500570000,273027649.7,14671
95033,105634940,32625.19379,,38854,,105634940,38854
95035,1181350502,50030.54875,247334,283351,745630800,435719701.7,36017
95037,1116290804,66815.7541,171587,200484,678556200,437734603.7,28897
95039,14690378.59,54883.10806,1709,3212,8627200,6063178.592,1503
95041,21158390.55,60858.26621,4002,4172,15297100,5861290.552,170
95043,5767470.788,25426.02846,0,2722,0,5767470.788,2722
95044,4906879.088,25757.89548,,2286,,4906879.088,2286
95045,70339192.55,47162.67031,10831,17897,37676700,32662492.55,7066
95046,144911502.1,82869.71148,16275,20984,83131800,61779702.14,4709
95050,460881300,40126.64771,137828,0,460881300,0,137828
95051,738082200,45631.98829,194096,,738082200,,194096
95054,262056400,38338.49605,82024,,262056400,,82024
95060,862831939.9,51159.83535,155491,202385,568472200,294359739.9,46894
95062,740159132,53216.95377,152805,166900,523058400,217100732,14095
95064,13852977.85,35211.97505,4664,4721,10009800,3843177.852,57
95065,156206046.5,53152.40056,24888,35266,92611000,63595046.5,10378
95066,344322359.3,64911.36946,49917,63654,223658600,120663759.3,13737
95070,1087471561,92351.65838,135767,141304,730268500,357203061.3,5537
95073,191812886.7,56907.92,29273,40447,111426600,80386286.68,11174
95075,13285686.47,64545.84521,1988,2470,7722400,5563286.472,482
95076,1137997066,48530.55662,218885,281389,722894600,415102466.5,62504
95110,271112208.9,38830.16456,52911,83784,158115200,112997008.9,30873
95111,797310924.8,53729.26327,145684,178073,476685800,320625124.8,32389
95112,827250370.3,40894.11056,163128,242749,495565500,331684870.3,79621
95113,36233725.49,27222.93425,1745,15972,12046600,24187125.49,14227
95116,637793340.2,47486.95536,140815,161171,400041700,237751640.2,20356
95117,546930478.8,45163.85157,112756,145319,361686400,185244078.8,32563
95118,663686177.7,53239.70622,130501,149592,422130700,241555477.7,19091
95119,203208485.8,59710.12586,37813,40839,130886700,72321785.84,3026
95120,1036247618,75712.65911,155742,164239,674914000,361333618.3,8497
